Loan_ID,BAD,LOAN,LOANDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
36722,1,5000,63125,126500,CarImp,Office,3,0,0,100.3,0,14,
657697,1,5000,100000,129693.5,CarImp,Mgr,13,,,,,,
834157,1,5000,,132000,CarImp,Other,17.5,0,2,121.9,0,14,
196877,1,5000,,9100,CarImp,Other,1,0,0,54.73333333,2,8,
242053,1,5000,34200,50830,CarImp,Other,6,0,0,57,1,9,
533418,1,5000,,71277,CarImp,Other,10,0,0,72.43333333,1,12,
763211,1,5000,123000,157500,CarImp,Mgr,9,,,,,,
46732,1,5000,16600,25250,CarImp,Other,6,0,0,88.7,1,3,
688481,1,5000,,52000,CarImp,Other,,0,1,285.3333333,0,6,
789293,1,5000,22700,34225,CarImp,Other,4,0,0,74.63333333,3,9,
719622,1,5000,6000,38575,CarImp,Self,7,0,1,335.0333333,3,42,
489969,1,5000,,74500,CarImp,Other,19,,,,,,
160245,1,5000,,94119,CarImp,Other,19,,,,,,
158499,0,5000,73126,87500,DebtCon,Other,1,0,0,125.9666667,2,10,
653958,0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.3666667,1,24,
879683,0,5000,26037,35000,CarImp,ProfExe,12,0,0,182.6333333,0,13,
858567,0,5000,39000,50340,CarImp,Office,10,,,179.8333333,,19,
206338,0,5000,,26550,DebtCon,Other,1.7,0,0,276.9666667,1,14,
176346,0,5000,70470,77908,DebtCon,,5,,,,,,
753607,0,5000,,36375,CarImp,Other,3,0,0,266.8,1,26,
315137,0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,
763677,0,5000,,65400,CarImp,Office,1.5,0,0,51.76666667,0,4,
479858,1,5000,,37500,CarImp,Other,,0,3,107.1333333,10,5,
207367,0,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.76666667,3,14,
881984,0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333333,1,18,
952309,1,5000,10171,26809,CarImp,Office,13,3,6,228.3,0,24,
578775,1,5000,78893,82600,CarImp,Mgr,16,0,0,133.9,1,34,
760212,1,5000,85165,107940,CarImp,Mgr,6,5,3,122.7666667,5,28,
193520,1,5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.8666667,0,30,
120783,1,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.13333333,0,13,
414632,1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
693263,1,5000,40000,32480,CarImp,Other,8,3,2,163.3666667,1,16,
856789,1,5000,81748,,DebtCon,ProfExe,14,1,2,144.0666667,2,17,
32451,0,5000,44674,59375,CarImp,Office,10,,,178.6925087,,19,26.44819746
598825,1,5000,61999,75021.3,CarImp,Other,5,0,0,97.1,0,23,
649090,0,5000,80153,97275,DebtCon,Other,1,0,0,120.6750632,2,10,37.51270841
350105,0,5000,68739,93435,,Mgr,3,0,0,148.7204047,0,23,36.66927861
490438,0,5000,51209,55320,DebtCon,,5,,1,69.1074656,,15,35.02507297
299286,1,5000,46696,85202,CarImp,Other,2,1,2,148.3406455,0,14,46.489874
866700,0,5000,,46281,CarImp,Other,2,0,0,257.6522064,0,26,40.95258888
343163,0,5000,66435,82819,CarImp,Other,2,0,0,125.1306256,0,14,42.18353867
516541,0,5100,179725,251962,DebtCon,Sales,,0,0,127.4988134,0,22,40.30825936
817200,0,5100,85583,115341,CarImp,ProfExe,7,0,0,177.9582551,1,28,26.25797013
975737,0,5100,72891,80691,CarImp,Other,1,1,0,273.8817052,0,6,39.85214652
295832,1,5100,30755,46735,CarImp,Other,10,0,0,69,0,17,
454767,0,5100,,26715,DebtCon,Other,1,0,0,258.7892976,0,14,26.72234334
862680,0,5100,87258,121382,CarImp,ProfExe,6,0,0,181.6630402,0,28,25.44475915
437680,0,5100,,28291,DebtCon,Other,2,0,0,277.9445608,1,14,23.64469128
903039,1,5100,9900,30451,CarImp,Other,11,0,0,21.2,0,2,
213701,0,5100,93000,116875,CarImp,Other,10,,,417.6333333,2,50,
601385,1,5100,15500,34000,DebtCon,Other,0,1,2,86.23333333,2,13,
982211,1,5100,129319,141875,CarImp,Sales,7,1,0,157.8598021,0,36,25.65074122
659920,0,5100,66834,87361,CarImp,Other,0,2,0,290.034108,0,6,38.76698507
524784,0,5100,73882,96031,DebtCon,Other,0,0,0,125.7874001,1,10,34.44607922
190600,0,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.40172955
498110,0,5100,62702,79784,CarImp,Other,2,0,0,108.0725908,0,15,43.29013982
146301,0,5200,,36425,DebtCon,Other,2,0,0,266.8134646,1,14,23.79740106
61553,0,5200,67000,77000,CarImp,Other,9,0,1,119.7,0,25,
312833,0,5200,43039,53521,CarImp,Office,11,,,184.2966873,,19,24.41476318
291516,0,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,
325242,1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
849391,0,5200,91250,110000,CarImp,Office,24,0,0,123.7666667,1,12,
581247,0,5200,16324,45187,CarImp,Self,,0,0,221.1180817,0,11,42.71209384
852638,1,5200,40564,39527,CarImp,Other,0,0,0,157.7710357,1,13,72.67043331
692733,0,5300,73698,84427,DebtCon,,4,,,,,,19.13120118
928318,0,5300,66987,65111,CarImp,Sales,4,1,0,175.3287038,1,22,40.44257039
925087,1,5300,26908,36078,CarImp,Other,,0,0,302.3587095,0,8,39.1969854
107738,0,5300,,49396,CarImp,,0,0,0,,0,0,12.04367058
553668,0,5300,44993,50673,CarImp,Office,7,,,184.7427672,,18,27.90612273
660687,1,5300,51000,64000,CarImp,Mgr,10,1,0,98.33333333,0,12,
682339,0,5300,75958,91703,DebtCon,Other,0,0,0,124.1821788,1,10,34.59906019
351866,0,5300,97132,117343,CarImp,Office,22,0,0,109.9339079,1,11,35.8385427
541478,0,5300,60826,80826,CarImp,Mgr,10,,1,212.8917461,0,25,38.59149403
207541,0,5300,83552,96809,DebtCon,ProfExe,0,,,,,,28.42396191
343214,0,5300,47449,63895,CarImp,Office,19,0,0,208.162714,0,20,19.7621137
566036,0,5300,50934,62957,CarImp,Office,21,0,0,197.2419573,0,20,19.35050563
560958,0,5400,53429,64505,DebtCon,,5,,0,69.54243011,,16,36.4802363
908244,0,5400,,65474,CarImp,Office,1,0,0,40.709849,0,4,37.84877103
865644,0,5400,47844,52040,CarImp,Office,8,,,189.0343046,,18,24.70113626
970104,1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
238493,1,5400,59720,63450,CarImp,ProfExe,5,0,1,199.9,1,20,
490127,0,5400,86922,119846,CarImp,ProfExe,5,0,0,185.0763473,1,28,26.35488929
887743,0,5400,68625,82304,DebtCon,Sales,2,0,0,136.6329442,0,30,32.05002349
865180,0,5400,65814,85848,CarImp,Other,4,0,0,122.9402886,0,15,44.09232568
65752,0,5400,,75254,,,,,,,,,23.16374295
778048,1,5400,78300,88000,CarImp,ProfExe,8,0,0,102.5,3,19,
188892,0,5400,48152,55760,DebtCon,,6,,0,78.45212577,,16,35.763638
415341,0,5500,70481,82446,CarImp,Other,8,0,1,116.5919769,0,24,37.61268272
528186,0,5500,,35402,CarImp,,,,,,,,35.27207374
39820,0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.55804904,2,13,31.37554242
283113,0,5500,52897,65054,CarImp,Office,20,0,0,189.2953185,0,19,20.6541289
218078,1,5500,24700,35675,DebtCon,Other,1,0,3,153.9333333,3,27,
338834,1,5500,,43132,CarImp,Other,,,,,,,
198954,0,5500,43486,81600,DebtCon,,4,0,0,216.1333333,4,30,
773457,1,5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,
898898,1,5500,,13770,CarImp,Mgr,5,0,1,167.3666667,1,8,
329752,0,5500,93051,115374,CarImp,ProfExe,6,0,0,187.0205188,1,27,27.6467485
728572,0,5500,87438,116679,CarImp,ProfExe,6,0,0,186.424416,1,27,28.4175309
746942,0,5500,78059,78179,DebtCon,,5,,,,,,20.67931358
195739,0,5500,72147,69918,CarImp,Sales,4,2,0,158.5344979,0,23,43.40443024
80948,1,5500,40584,46645,CarImp,Other,4,0,1,136.3206375,0,13,34.49470896
857416,1,5500,,12972,CarImp,Other,1,0,1,82.29426635,0,2,36.9867441
296097,1,5500,37368,48502,CarImp,Mgr,9,0,2,48.995845,0,10,33.12648397
208626,0,5500,,66251,CarImp,Office,1,0,0,43.72233695,0,3,41.45204353
471572,0,5500,71644,72696,CarImp,Sales,4,2,0,150.8658451,0,22,40.44256778
846098,1,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.2132767,1,26,32.67664088
340688,0,5600,53793,66379,CarImp,Office,22,0,0,206.0991341,0,19,18.36954053
735593,0,5600,69435,83489,DebtCon,ProfExe,14,0,0,200.418434,1,17,22.84109285
917259,0,5600,29648,39907,CarImp,ProfExe,11,0,0,180.5630691,0,13,21.55494966
529072,0,5600,76407,77485,CarImp,Other,9,0,0,91.68377063,0,24,37.77335098
447656,1,5600,5000,66700,CarImp,Other,31,1,1,204.0666667,0,11,
836182,1,5600,55160,86800,CarImp,Other,3,1,1,148.1333333,1,14,
539795,0,5600,41439,53893,CarImp,Office,8,,,181.3229899,,19,24.65139574
914673,0,5600,15275,47954,CarImp,Self,,0,0,204.335245,0,12,42.39776964
70132,0,5700,100934,111496,CarImp,Office,23,0,0,117.4995929,0,12,38.75056267
524152,0,5700,,74685,,,,,,,,,24.27486527
143481,0,5700,49514,58249,CarImp,Office,21,0,0,212.5391151,0,21,21.25802688
594232,0,5700,76948,85753,CarImp,Other,7,0,0,128.4764515,0,25,37.85968784
810232,0,5700,28127,36524,CarImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
155553,0,5700,,68591,CarImp,Office,0,0,0,69.64566047,0,4,41.18503956
871618,0,5700,26927,35461,DebtCon,Other,0,1,0,21.79935215,10,6,29.43966424
102775,0,5700,49806,82242,DebtCon,,3,0,0,210.3474786,3,30,31.2434087
549916,1,5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,
135846,1,5700,58400,75000,CarImp,ProfExe,4,0,0,177.5,2,26,
564575,1,5700,80437,109647,CarImp,ProfExe,9.5,0,0,104.4,0,14,
738320,1,5700,77213,92661,DebtCon,Sales,0,0,0,97.13317095,1,16,41.77788863
974387,0,5700,62319,82923,CarImp,Other,4,0,0,117.6739652,0,15,42.46486629
247429,0,5700,71556,79538,CarImp,Other,2,0,0,92.64308456,0,15,41.21001247
364523,0,5700,,39052,CarImp,Other,3,0,0,272.2206283,0,25,39.89610462
571591,1,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.0097747,0,28,47.41522866
851533,0,5700,28116,33450,DebtCon,Other,0,1,0,15.39658739,9,7,30.0170133
806215,0,5700,,64910,,,,,,,,,33.85046122
83678,0,5700,,69172,CarImp,Office,1,0,0,48.85366706,0,3,38.77368596
19200,0,5800,,36385,CarImp,Other,2,0,0,266.5533944,1,25,43.30976454
298626,0,5800,,41119,CarImp,Other,2,0,0,261.4052186,0,26,42.19194156
370199,0,5800,75000,90543,DebtCon,Mgr,18,0,0,300.4872058,1,23,38.94057536
806939,0,5800,79296,86885,DebtCon,Mgr,19,0,1,307.9748816,1,23,39.95910876
28424,1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.28906275,1,13,30.18780539
293300,0,5800,172595,250155,DebtCon,Sales,,0,0,126.4009836,0,21,43.20775979
146426,0,5800,,34704,CarImp,,,,,,,,34.17405555
437084,0,5800,,73804,CarImp,Office,1,0,0,71.76655716,0,4,41.28742339
674850,0,5800,46595,58191,CarImp,Other,5,0,0,80.13174641,0,17,24.14015367
101543,1,5900,,28000,DebtCon,Self,1,2,1,36.76666667,1,8,
630243,0,5900,70973,77989,CarImp,Other,7,0,0,120.3794143,0,24,41.44250046
957355,1,5900,,33100,CarImp,Other,,0,0,238.6,1,2,
821836,0,5900,,51189,CarImp,,1,0,0,,0,0,12.74918064
616644,0,5900,82912,91175,DebtCon,ProfExe,2,,,,,,27.59527352
378029,1,5900,25972,41856,DebtCon,Other,2,0,2,157.9600114,3,27,40.62827817
398720,0,5900,74187,78976,CarImp,Other,9,0,1,118.442491,0,24,40.11040743
838545,0,5900,,66903,,,,,,,,,32.78292683
866578,1,5900,106650,,DebtCon,Mgr,1,0,6,250.5666667,4,23,
213508,0,6000,,69492,,,,,,,,,32.97719723
466786,0,6000,95232,115977,CarImp,Office,22,0,0,149.0229081,1,12,37.95433691
239883,1,6000,47625,85925,CarImp,Office,0.1,2,1,154.1333333,4,26,
45501,1,6000,24600,30500,CarImp,Other,4.5,0,1,116.1,8,34,
436518,1,6000,65000,94355,,Other,26,1,3,69.3,1,34,
599854,1,6000,,,CarImp,Office,13,,2,122.7666667,,23,
461199,1,6000,33600,,CarImp,Other,2,0,0,140.9333333,1,20,
116053,1,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,
219332,1,6000,32446,54904,CarImp,Other,2,0,0,51.73333333,1,9,
504403,1,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,
827245,1,6000,22859,32200,DebtCon,Other,4,0,0,83.33333333,3,20,
394882,1,6000,16878,25850,,Mgr,1,0,1,218.6,5,34,
734237,0,6000,72951,80000,CarImp,Other,22.8,0,0,343.9,1,47,
712351,0,6000,43000,57460,CarImp,Other,1.6,1,,101.5,,13,
250157,0,6000,53500,64790,DebtCon,Other,0.1,0,2,105.4,3,18,
411912,0,6000,69876,94394.07,CarImp,Other,0,0,1,179.5666667,0,32,
245698,0,6000,51000,86125,CarImp,ProfExe,6,0,0,222.1666667,2,24,
582834,0,6000,53227,68700,CarImp,Mgr,3,0,2,122.7333333,0,23,
893549,0,6000,,43300,CarImp,Other,,,,100.9333333,,9,
477576,0,6000,14000,61493,CarImp,Office,23,0,0,321.6333333,1,13,
202710,1,6000,40000,54600,CarImp,ProfExe,4,0,4,101.4,0,19,
101149,1,6000,18793,27750,CarImp,Mgr,6,0,3,119.7,0,8,
893696,1,6000,179397,200000,DebtCon,ProfExe,5,6,0,90.3,6,29,
731801,1,6000,,95500,CarImp,Mgr,6,1,2,129.9,1,22,
756497,0,6000,79046,103048,CarImp,Other,0,0,0,181.696538,0,32,37.28998992
322158,0,6000,,53190,CarImp,,0,0,0,,0,0,15.174415
402517,1,6000,,43683,CarImp,Other,,,,,,,21.93549881
454666,0,6000,129731,154113,CarImp,ProfExe,12,0,0,213.5333333,0,19,
305186,0,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,
903947,0,6100,,47400,,,,,,,,,
202647,0,6100,91704,114799,CarImp,Office,22,0,0,129.2500896,1,12,36.74676624
555370,0,6100,47604,54966,CarImp,Other,5,0,0,70.69532973,0,18,24.76674453
757694,0,6100,,35250,CarImp,Other,,,,303,,12,
249453,1,6100,62751,95617,CarImp,Other,1,0,0,138.6468632,1,13,31.75727069
318377,0,6100,48300,53388,CarImp,Office,9,,,178.4896022,,19,26.72002818
742160,0,6100,68743,65321,CarImp,Sales,3,1,0,153.0667831,0,22,40.15052706
34896,0,6100,79636,87276,CarImp,Other,20,0,0,350.4361375,0,47,28.84827658
188611,0,6100,,46830,CarImp,,0,0,1,,0,0,13.30601308
563801,0,6100,78753,95433,DebtCon,ProfExe,0,,,,,,28.92511742
974719,0,6100,77265,97944,DebtCon,ProfExe,0,,,,,,28.87646305
918952,0,6200,75657,84368,DebtCon,Sales,4,0,0,122.244945,0,30,32.55254333
